Disease,Treatment,Diagnosis,Symptoms,Disease_NER,Treatment_NER,Diagnosis_NER,Symptoms_NER
Angina,"Nitroglycerin (0.4 mg SL), metoprolol (25100 mg daily), aspirin (81 mg daily).","ECG, stress test, coronary angiography.","Chest pain, pressure, shortness of breath, nausea.","[{'text': 'Angina', 'label': 'ENTITY', 'umls_cui': 'C0002962', 'umls_score': 0.9822253584861755}]","[{'text': 'Nitroglycerin', 'label': 'ENTITY', 'umls_cui': 'C0017887', 'umls_score': 0.9857536554336548}, {'text': 'SL', 'label': 'ENTITY', 'umls_cui': 'C4761558', 'umls_score': 0.9848113656044006}, {'text': 'metoprolol', 'label': 'ENTITY', 'umls_cui': 'C0025859', 'umls_score': 0.9727950692176819}, {'text': 'daily', 'label': 'ENTITY', 'umls_cui': 'C0332173', 'umls_score': 0.9872916340827942}, {'text': 'aspirin', 'label': 'ENTITY', 'umls_cui': 'C0004057', 'umls_score': 0.9810118675231934}, {'text': 'daily', 'label': 'ENTITY', 'umls_cui': 'C0332173', 'umls_score': 0.9872916340827942}]","[{'text': 'ECG', 'label': 'ENTITY', 'umls_cui': 'C0013798', 'umls_score': 0.990286648273468}, {'text': 'stress test', 'label': 'ENTITY', 'umls_cui': 'C0015260', 'umls_score': 0.9971364140510559}, {'text': 'coronary angiography', 'label': 'ENTITY', 'umls_cui': 'C0085532', 'umls_score': 0.9873880743980408}]","[{'text': 'Chest pain', 'label': 'ENTITY', 'umls_cui': 'C0008031', 'umls_score': 0.9849169850349426}, {'text': 'pressure', 'label': 'ENTITY', 'umls_cui': 'C0033095', 'umls_score': 0.9924325942993164}, {'text': 'shortness of breath', 'label': 'ENTITY', 'umls_cui': 'C0013404', 'umls_score': 0.9651163220405579}, {'text': 'nausea', 'label': 'ENTITY', 'umls_cui': 'C0027497', 'umls_score': 0.9951015710830688}]"
Gastroparesis,"Metoclopramide (10 mg 3x daily), erythromycin (250 mg 3x daily), diet changes.","Gastric emptying study, endoscopy.","Nausea, vomiting, bloating, early satiety.","[{'text': 'Gastroparesis', 'label': 'ENTITY', 'umls_cui': 'C0152020', 'umls_score': 0.9920171499252319}]","[{'text': 'Metoclopramide', 'label': 'ENTITY', 'umls_cui': 'C0025853', 'umls_score': 0.9859462976455688}, {'text': 'daily', 'label': 'ENTITY', 'umls_cui': 'C0332173', 'umls_score': 0.9872916340827942}, {'text': 'erythromycin', 'label': 'ENTITY', 'umls_cui': 'C0014806', 'umls_score': 0.9827792048454285}, {'text': 'daily', 'label': 'ENTITY', 'umls_cui': 'C0332173', 'umls_score': 0.9872916340827942}, {'text': 'diet changes', 'label': 'ENTITY', 'umls_cui': 'C0392747', 'umls_score': 0.7858996391296387}]","[{'text': 'Gastric emptying study', 'label': 'ENTITY', 'umls_cui': 'C0203071', 'umls_score': 0.9534745216369629}, {'text': 'endoscopy', 'label': 'ENTITY', 'umls_cui': 'C0014245', 'umls_score': 0.9926842451095581}]","[{'text': 'Nausea', 'label': 'ENTITY', 'umls_cui': 'C0027497', 'umls_score': 0.9951015710830688}, {'text': 'vomiting', 'label': 'ENTITY', 'umls_cui': 'C0042963', 'umls_score': 0.9573907256126404}, {'text': 'bloating', 'label': 'ENTITY', 'umls_cui': 'C0000731', 'umls_score': 0.9594429135322571}, {'text': 'satiety', 'label': 'ENTITY', 'umls_cui': 'C0036239', 'umls_score': 0.9785861968994141}]"
Plantar Fasciitis,"Ibuprofen (400800 mg), stretching, orthotics, corticosteroid injection.","Clinical exam, Xray to rule out fracture.","Heel pain, stiffness, worse in morning.","[{'text': 'Plantar Fasciitis', 'label': 'ENTITY', 'umls_cui': 'C0149756', 'umls_score': 0.9523679614067078}]","[{'text': 'Ibuprofen', 'label': 'ENTITY', 'umls_cui': 'C0020740', 'umls_score': 0.9725996851921082}, {'text': 'stretching', 'label': 'ENTITY', 'umls_cui': 'C0600080', 'umls_score': 0.9560304880142212}, {'text': 'orthotics', 'label': 'ENTITY', 'umls_cui': 'C0029365', 'umls_score': 0.9796269536018372}, {'text': 'corticosteroid', 'label': 'ENTITY', 'umls_cui': 'C0001617', 'umls_score': 0.9879324436187744}, {'text': 'injection', 'label': 'ENTITY', 'umls_cui': 'C0021485', 'umls_score': 0.9671467542648315}]","[{'text': 'Clinical exam', 'label': 'ENTITY', 'umls_cui': 'C0205210', 'umls_score': 0.7985143661499023}, {'text': 'Xray', 'label': 'ENTITY', 'umls_cui': 'C0043299', 'umls_score': 0.9730836153030396}, {'text': 'fracture', 'label': 'ENTITY', 'umls_cui': 'C0016658', 'umls_score': 0.9908431768417358}]","[{'text': 'Heel pain', 'label': 'ENTITY', 'umls_cui': 'C0231780', 'umls_score': 0.9635152220726013}, {'text': 'stiffness', 'label': 'ENTITY', 'umls_cui': 'C1660792', 'umls_score': 0.8270248770713806}, {'text': 'morning', 'label': 'ENTITY', 'umls_cui': 'C0332170', 'umls_score': 0.9794526100158691}]"
Nephrogenic Diabetes Insipidus,"Hydrochlorothiazide (2550 mg daily), amiloride (510 mg daily), hydration.","Water deprivation test, urine osmolality, vasopressin response.","Excessive thirst, dilute urine, dehydration.","[{'text': 'Nephrogenic Diabetes', 'label': 'ENTITY', 'umls_cui': 'C0162283', 'umls_score': 0.7848178744316101}]","[{'text': 'Hydrochlorothiazide', 'label': 'ENTITY', 'umls_cui': 'C0020261', 'umls_score': 0.9853209853172302}, {'text': 'daily', 'label': 'ENTITY', 'umls_cui': 'C0332173', 'umls_score': 0.9872916340827942}, {'text': 'amiloride', 'label': 'ENTITY', 'umls_cui': 'C0002502', 'umls_score': 0.9893847107887268}, {'text': 'daily', 'label': 'ENTITY', 'umls_cui': 'C0332173', 'umls_score': 0.9872916340827942}, {'text': 'hydration', 'label': 'ENTITY', 'umls_cui': 'C1321013', 'umls_score': 0.9771467447280884}]","[{'text': 'Water deprivation test', 'label': 'ENTITY', 'umls_cui': 'C0430213', 'umls_score': 0.9577752947807312}, {'text': 'urine osmolality', 'label': 'ENTITY', 'umls_cui': 'C0740085', 'umls_score': 0.9765927195549011}, {'text': 'vasopressin response', 'label': 'ENTITY', 'umls_cui': 'C4236388', 'umls_score': 0.9513277411460876}]","[{'text': 'Excessive thirst', 'label': 'ENTITY', 'umls_cui': 'C0085602', 'umls_score': 0.9795048832893372}, {'text': 'dilute urine', 'label': 'ENTITY', 'umls_cui': 'C1948037', 'umls_score': 0.7260083556175232}, {'text': 'dehydration', 'label': 'ENTITY', 'umls_cui': 'C0011175', 'umls_score': 0.9573458433151245}]"
Cystic Fibrosis,"Ivacaftor (150 mg twice daily), dornase alfa (2.5 mg nebulized), antibiotics.","Sweat chloride test (>60 mmol/L), CFTR genetic testing.","Chronic cough, salty skin, poor growth, lung infections.","[{'text': 'Cystic Fibrosis', 'label': 'ENTITY', 'umls_cui': 'C0010674', 'umls_score': 0.9843966960906982}]","[{'text': 'Ivacaftor', 'label': 'ENTITY', 'umls_cui': 'C3264621', 'umls_score': 0.9640079140663147}, {'text': 'dornase alfa', 'label': 'ENTITY', 'umls_cui': 'C1135662', 'umls_score': 0.9747108221054077}, {'text': 'nebulized', 'label': 'ENTITY', 'umls_cui': 'C1549531', 'umls_score': 0.9735028743743896}, {'text': 'antibiotics', 'label': 'ENTITY', 'umls_cui': 'C0003232', 'umls_score': 0.9689207077026367}]","[{'text': 'Sweat chloride test', 'label': 'ENTITY', 'umls_cui': 'C0428295', 'umls_score': 0.9736124873161316}, {'text': 'CFTR', 'label': 'ENTITY', 'umls_cui': 'C0056889', 'umls_score': 0.9835887551307678}, {'text': 'genetic testing', 'label': 'ENTITY', 'umls_cui': 'C0393006', 'umls_score': 0.9895012974739075}]","[{'text': 'Chronic cough', 'label': 'ENTITY', 'umls_cui': 'C0010201', 'umls_score': 0.9742904305458069}, {'text': 'salty skin', 'label': 'ENTITY'}, {'text': 'poor growth', 'label': 'ENTITY', 'umls_cui': 'C1837385', 'umls_score': 0.9699034094810486}, {'text': 'lung infections', 'label': 'ENTITY', 'umls_cui': 'C0876973', 'umls_score': 0.879477858543396}]"
Liver Disease,"Ursodiol (300 mg 3x daily), lactulose (2030 g) for encephalopathy, varies by cause.","LFTs (elevated ALT/AST), ultrasound, biopsy.","Jaundice, fatigue, abdominal swelling, dark urine.","[{'text': 'Liver Disease', 'label': 'ENTITY', 'umls_cui': 'C0023895', 'umls_score': 0.9836790561676025}]","[{'text': 'Ursodiol', 'label': 'ENTITY', 'umls_cui': 'C0042105', 'umls_score': 0.9944968223571777}, {'text': 'daily', 'label': 'ENTITY', 'umls_cui': 'C0332173', 'umls_score': 0.9872916340827942}, {'text': 'lactulose', 'label': 'ENTITY', 'umls_cui': 'C0022957', 'umls_score': 0.9834980368614197}, {'text': 'encephalopathy', 'label': 'ENTITY', 'umls_cui': 'C0085584', 'umls_score': 0.9938862323760986}, {'text': 'cause', 'label': 'ENTITY', 'umls_cui': 'C0015127', 'umls_score': 0.9771540760993958}]","[{'text': 'LFTs', 'label': 'ENTITY'}, {'text': 'ultrasound', 'label': 'ENTITY', 'umls_cui': 'C0041618', 'umls_score': 0.9832558631896973}, {'text': 'biopsy', 'label': 'ENTITY', 'umls_cui': 'C0005558', 'umls_score': 0.9729230999946594}]","[{'text': 'Jaundice', 'label': 'ENTITY', 'umls_cui': 'C0022346', 'umls_score': 0.947461724281311}, {'text': 'fatigue', 'label': 'ENTITY', 'umls_cui': 'C0015672', 'umls_score': 0.9711542725563049}, {'text': 'abdominal swelling', 'label': 'ENTITY', 'umls_cui': 'C0000731', 'umls_score': 0.9588626027107239}, {'text': 'dark urine', 'label': 'ENTITY', 'umls_cui': 'C0426396', 'umls_score': 0.9689556956291199}]"
Bipolar Disorder,"Lithium (9001200 mg daily), valproate (5001000 mg daily), therapy.","DSM5 criteria, mood charting.","Mood swings, mania, depression, irritability.","[{'text': 'Bipolar Disorder', 'label': 'ENTITY', 'umls_cui': 'C0005586', 'umls_score': 0.9751492738723755}]","[{'text': 'Lithium', 'label': 'ENTITY', 'umls_cui': 'C0023870', 'umls_score': 0.9728432297706604}, {'text': 'daily', 'label': 'ENTITY', 'umls_cui': 'C0332173', 'umls_score': 0.9872916340827942}, {'text': 'valproate', 'label': 'ENTITY', 'umls_cui': 'C0080356', 'umls_score': 0.969538688659668}, {'text': 'daily', 'label': 'ENTITY', 'umls_cui': 'C0332173', 'umls_score': 0.9872916340827942}, {'text': 'therapy', 'label': 'ENTITY', 'umls_cui': 'C0039798', 'umls_score': 0.9839879274368286}]","[{'text': 'DSM5', 'label': 'ENTITY'}, {'text': 'criteria', 'label': 'ENTITY', 'umls_cui': 'C0243161', 'umls_score': 0.9772256016731262}, {'text': 'mood charting', 'label': 'ENTITY', 'umls_cui': 'C0684240', 'umls_score': 0.8077300786972046}]","[{'text': 'Mood swings', 'label': 'ENTITY', 'umls_cui': 'C0085633', 'umls_score': 0.9737966656684875}, {'text': 'mania', 'label': 'ENTITY', 'umls_cui': 'C0338831', 'umls_score': 0.9940875172615051}, {'text': 'depression', 'label': 'ENTITY', 'umls_cui': 'C0011570', 'umls_score': 0.9696047902107239}, {'text': 'irritability', 'label': 'ENTITY', 'umls_cui': 'C0022107', 'umls_score': 0.9875359535217285}]"
Herpes Zoster Meningitis,"Acyclovir (10 mg/kg IV every 8 hours), prednisone (60 mg daily tapering).","CSF PCR for VZV, MRI.","Headache, fever, rash, neck stiffness.","[{'text': 'Herpes Zoster Meningitis', 'label': 'ENTITY', 'umls_cui': 'C0700503', 'umls_score': 0.9603108167648315}]","[{'text': 'Acyclovir', 'label': 'ENTITY', 'umls_cui': 'C0001367', 'umls_score': 0.986030638217926}, {'text': 'hours', 'label': 'ENTITY', 'umls_cui': 'C0439227', 'umls_score': 0.9980335831642151}, {'text': 'prednisone', 'label': 'ENTITY', 'umls_cui': 'C0032952', 'umls_score': 0.954511821269989}, {'text': 'daily', 'label': 'ENTITY', 'umls_cui': 'C0332173', 'umls_score': 0.9872916340827942}]","[{'text': 'CSF', 'label': 'ENTITY', 'umls_cui': 'C0007806', 'umls_score': 0.9988160133361816}, {'text': 'PCR', 'label': 'ENTITY', 'umls_cui': 'C0032520', 'umls_score': 0.9947255253791809}, {'text': 'VZV', 'label': 'ENTITY', 'umls_cui': 'C0042338', 'umls_score': 0.9999778866767883}, {'text': 'MRI', 'label': 'ENTITY', 'umls_cui': 'C0024485', 'umls_score': 0.9940130114555359}]","[{'text': 'Headache', 'label': 'ENTITY', 'umls_cui': 'C0018681', 'umls_score': 0.9900735020637512}, {'text': 'fever', 'label': 'ENTITY', 'umls_cui': 'C0015967', 'umls_score': 0.9616571664810181}, {'text': 'rash', 'label': 'ENTITY', 'umls_cui': 'C0015230', 'umls_score': 0.9840058088302612}, {'text': 'neck stiffness', 'label': 'ENTITY', 'umls_cui': 'C0151315', 'umls_score': 0.9585690498352051}]"
Teen Depression,"Fluoxetine (2040 mg daily), CBT, family therapy.","PHQ9, clinical interview, rule out bipolar.","Sadness, withdrawal, irritability, school decline.","[{'text': 'Teen Depression', 'label': 'ENTITY', 'umls_cui': 'C4735566', 'umls_score': 0.963003396987915}]","[{'text': 'Fluoxetine', 'label': 'ENTITY', 'umls_cui': 'C0016365', 'umls_score': 0.9439778327941895}, {'text': 'daily', 'label': 'ENTITY', 'umls_cui': 'C0332173', 'umls_score': 0.9872916340827942}, {'text': 'CBT', 'label': 'ENTITY', 'umls_cui': 'C0009244', 'umls_score': 0.9844757318496704}, {'text': 'family therapy', 'label': 'ENTITY', 'umls_cui': 'C0015618', 'umls_score': 0.9882623553276062}]","[{'text': 'PHQ9', 'label': 'ENTITY'}, {'text': 'clinical interview', 'label': 'ENTITY', 'umls_cui': 'C0199182', 'umls_score': 0.9608496427536011}, {'text': 'bipolar', 'label': 'ENTITY', 'umls_cui': 'C0443156', 'umls_score': 0.9703727960586548}]","[{'text': 'Sadness', 'label': 'ENTITY', 'umls_cui': 'C3536794', 'umls_score': 0.9628179669380188}, {'text': 'withdrawal', 'label': 'ENTITY', 'umls_cui': 'C2349954', 'umls_score': 0.9500925540924072}, {'text': 'irritability', 'label': 'ENTITY', 'umls_cui': 'C0022107', 'umls_score': 0.9875359535217285}, {'text': 'school decline', 'label': 'ENTITY'}]"
Scleritis,"Prednisone (4060 mg daily), ibuprofen (600 mg 3x daily), rituximab if severe.","Slitlamp exam, rule out autoimmune cause.","Severe eye pain, redness, vision changes.","[{'text': 'Scleritis', 'label': 'ENTITY', 'umls_cui': 'C0036416', 'umls_score': 0.9865295886993408}]","[{'text': 'Prednisone', 'label': 'ENTITY', 'umls_cui': 'C0032952', 'umls_score': 0.954511821269989}, {'text': 'daily', 'label': 'ENTITY', 'umls_cui': 'C0332173', 'umls_score': 0.9872916340827942}, {'text': 'ibuprofen', 'label': 'ENTITY', 'umls_cui': 'C0020740', 'umls_score': 0.9725996851921082}, {'text': 'daily', 'label': 'ENTITY', 'umls_cui': 'C0332173', 'umls_score': 0.9872916340827942}, {'text': 'rituximab', 'label': 'ENTITY', 'umls_cui': 'C0393022', 'umls_score': 0.9763724207878113}, {'text': 'severe', 'label': 'ENTITY', 'umls_cui': 'C0205082', 'umls_score': 0.981156051158905}]","[{'text': 'Slitlamp exam', 'label': 'ENTITY', 'umls_cui': 'C0419360', 'umls_score': 0.7035570740699768}, {'text': 'autoimmune cause', 'label': 'ENTITY', 'umls_cui': 'C4551524', 'umls_score': 0.7991088032722473}]","[{'text': 'Severe', 'label': 'ENTITY', 'umls_cui': 'C0205082', 'umls_score': 0.981156051158905}, {'text': 'eye pain', 'label': 'ENTITY', 'umls_cui': 'C0151827', 'umls_score': 0.9724454879760742}, {'text': 'redness', 'label': 'ENTITY', 'umls_cui': 'C0041834', 'umls_score': 0.9690099358558655}, {'text': 'vision changes', 'label': 'ENTITY', 'umls_cui': 'C0392747', 'umls_score': 0.7229225039482117}]"
Cytomegaloviral Pneumonia,"Ganciclovir (5 mg/kg IV twice daily), valganciclovir (900 mg twice daily).","CMV PCR, chest CT, bronchoscopy.","Fever, cough, dyspnea, fatigue (immunocompromised).","[{'text': 'Cytomegaloviral Pneumonia', 'label': 'ENTITY', 'umls_cui': 'C0276253', 'umls_score': 0.9811699390411377}]","[{'text': 'Ganciclovir', 'label': 'ENTITY', 'umls_cui': 'C0017066', 'umls_score': 0.9895299077033997}, {'text': 'valganciclovir', 'label': 'ENTITY', 'umls_cui': 'C0909381', 'umls_score': 0.9857618808746338}]","[{'text': 'CMV PCR', 'label': 'ENTITY', 'umls_cui': 'C0010823', 'umls_score': 0.7039871215820312}, {'text': 'chest CT', 'label': 'ENTITY', 'umls_cui': 'C0202823', 'umls_score': 0.9898857474327087}, {'text': 'bronchoscopy', 'label': 'ENTITY', 'umls_cui': 'C0006290', 'umls_score': 0.9959232807159424}]","[{'text': 'Fever', 'label': 'ENTITY', 'umls_cui': 'C0015967', 'umls_score': 0.9616571664810181}, {'text': 'cough', 'label': 'ENTITY', 'umls_cui': 'C0010200', 'umls_score': 0.9633718132972717}, {'text': 'dyspnea', 'label': 'ENTITY', 'umls_cui': 'C0013404', 'umls_score': 0.9835606217384338}, {'text': 'fatigue', 'label': 'ENTITY', 'umls_cui': 'C0015672', 'umls_score': 0.9711542725563049}, {'text': 'immunocompromised', 'label': 'ENTITY', 'umls_cui': 'C0085393', 'umls_score': 0.9860458374023438}]"
Geographic Tongue,"No specific drugs, topical steroids (e.g., hydrocortisone 1%) if symptomatic.","Clinical exam, rule out infection.","Patchy tongue, burning sensation, taste changes.","[{'text': 'Geographic Tongue', 'label': 'ENTITY', 'umls_cui': 'C0017677', 'umls_score': 0.977728545665741}]","[{'text': 'No specific drugs', 'label': 'ENTITY', 'umls_cui': 'C0205369', 'umls_score': 0.7145819664001465}, {'text': 'topical steroids', 'label': 'ENTITY', 'umls_cui': 'C0304604', 'umls_score': 0.7476745843887329}, {'text': 'symptomatic', 'label': 'ENTITY', 'umls_cui': 'C0231220', 'umls_score': 0.9737150073051453}]","[{'text': 'Clinical exam', 'label': 'ENTITY', 'umls_cui': 'C0205210', 'umls_score': 0.7985143661499023}, {'text': 'infection', 'label': 'ENTITY', 'umls_cui': 'C0009450', 'umls_score': 0.9619160294532776}]","[{'text': 'Patchy tongue', 'label': 'ENTITY'}, {'text': 'burning sensation', 'label': 'ENTITY', 'umls_cui': 'C0085624', 'umls_score': 0.955970823764801}, {'text': 'taste changes', 'label': 'ENTITY', 'umls_cui': 'C0392747', 'umls_score': 0.7524415850639343}]"
Cryosurgery for Prostate Cancer,"Cryoablation procedure, leuprolide (7.5 mg monthly), monitor PSA.","PSA test, biopsy, MRI pre/postcryo.","Urinary issues, PSA elevation (posttreatment context).","[{'text': 'Cryosurgery', 'label': 'ENTITY', 'umls_cui': 'C0010408', 'umls_score': 0.9812808036804199}, {'text': 'Prostate Cancer', 'label': 'ENTITY', 'umls_cui': 'C0376358', 'umls_score': 0.9910537004470825}]","[{'text': 'Cryoablation procedure', 'label': 'ENTITY'}, {'text': 'leuprolide', 'label': 'ENTITY', 'umls_cui': 'C0085272', 'umls_score': 0.9723733067512512}, {'text': 'monitor', 'label': 'ENTITY', 'umls_cui': 'C0181904', 'umls_score': 0.9946780800819397}, {'text': 'PSA', 'label': 'ENTITY', 'umls_cui': 'C0138741', 'umls_score': 0.9832567572593689}]","[{'text': 'PSA test', 'label': 'ENTITY', 'umls_cui': 'C0022885', 'umls_score': 0.7554857730865479}, {'text': 'biopsy', 'label': 'ENTITY', 'umls_cui': 'C0005558', 'umls_score': 0.9729230999946594}, {'text': 'MRI', 'label': 'ENTITY', 'umls_cui': 'C0024485', 'umls_score': 0.9940130114555359}]","[{'text': 'Urinary issues', 'label': 'ENTITY', 'umls_cui': 'C4025655', 'umls_score': 0.781958281993866}, {'text': 'PSA', 'label': 'ENTITY', 'umls_cui': 'C0138741', 'umls_score': 0.9832567572593689}, {'text': 'posttreatment context', 'label': 'ENTITY', 'umls_cui': 'C1882428', 'umls_score': 0.7628068923950195}]"
Tendinitis,"Naproxen (500 mg twice daily),rest, physical therapy, steroid injection.","Physical exam, ultrasound, MRI if chronic.","Pain, swelling, stiffness near joint, worse with movement.","[{'text': 'Tendinitis', 'label': 'ENTITY', 'umls_cui': 'C0039503', 'umls_score': 0.9971033930778503}]","[{'text': 'Naproxen', 'label': 'ENTITY', 'umls_cui': 'C0027396', 'umls_score': 0.9686558842658997}, {'text': 'daily),rest', 'label': 'ENTITY'}, {'text': 'physical therapy', 'label': 'ENTITY', 'umls_cui': 'C0699718', 'umls_score': 0.9791001081466675}, {'text': 'steroid', 'label': 'ENTITY', 'umls_cui': 'C0038317', 'umls_score': 0.984474778175354}, {'text': 'injection', 'label': 'ENTITY', 'umls_cui': 'C0021485', 'umls_score': 0.9671467542648315}]","[{'text': 'Physical exam', 'label': 'ENTITY', 'umls_cui': 'C0031809', 'umls_score': 0.9741718769073486}, {'text': 'ultrasound', 'label': 'ENTITY', 'umls_cui': 'C0041618', 'umls_score': 0.9832558631896973}, {'text': 'MRI', 'label': 'ENTITY', 'umls_cui': 'C0024485', 'umls_score': 0.9940130114555359}, {'text': 'chronic', 'label': 'ENTITY', 'umls_cui': 'C0205191', 'umls_score': 0.991936981678009}]","[{'text': 'Pain', 'label': 'ENTITY', 'umls_cui': 'C0030193', 'umls_score': 0.9754149913787842}, {'text': 'swelling', 'label': 'ENTITY', 'umls_cui': 'C0013604', 'umls_score': 0.9542832970619202}, {'text': 'stiffness', 'label': 'ENTITY', 'umls_cui': 'C1660792', 'umls_score': 0.8270248770713806}, {'text': 'near joint', 'label': 'ENTITY', 'umls_cui': 'C0022417', 'umls_score': 0.7331812977790833}, {'text': 'movement', 'label': 'ENTITY', 'umls_cui': 'C0026649', 'umls_score': 0.9604375958442688}]"
Morphea,"Methotrexate (1525 mg weekly), topical calcipotriene (0.005%), phototherapy.","Clinical exam, skin biopsy.","Hardened skin patches, discoloration, itching.","[{'text': 'Morphea', 'label': 'ENTITY', 'umls_cui': 'C0036420', 'umls_score': 0.9962174296379089}]","[{'text': 'Methotrexate', 'label': 'ENTITY', 'umls_cui': 'C0025677', 'umls_score': 0.9724632501602173}, {'text': 'topical calcipotriene', 'label': 'ENTITY', 'umls_cui': 'C3219212', 'umls_score': 0.9700782895088196}, {'text': 'phototherapy', 'label': 'ENTITY', 'umls_cui': 'C0031765', 'umls_score': 0.9864739179611206}]","[{'text': 'Clinical exam', 'label': 'ENTITY', 'umls_cui': 'C0205210', 'umls_score': 0.7985143661499023}, {'text': 'skin biopsy', 'label': 'ENTITY', 'umls_cui': 'C0150866', 'umls_score': 0.9735589623451233}]","[{'text': 'Hardened skin patches', 'label': 'ENTITY'}, {'text': 'discoloration', 'label': 'ENTITY', 'umls_cui': 'C0332572', 'umls_score': 0.979123592376709}, {'text': 'itching', 'label': 'ENTITY', 'umls_cui': 'C0033774', 'umls_score': 0.9587393403053284}]"
